name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
El Baix Segura / La Vega Baja solar project II,--,,Spain,1.2,operating,2021.0,,,38.1554,-0.8156,exact,Comunidad Valenciana,L100001053627,G100001061421,GEM Global Solar Power Tracker Feb-2026
El Baix Segura / La Vega Baja solar project III,--,,Spain,2.7,operating,2024.0,,,38.2072,-0.8647,exact,Comunidad Valenciana,L100001053742,G100001061536,GEM Global Solar Power Tracker Feb-2026
El Baix Segura / La Vega Baja solar project IV,--,,Spain,1.6,operating,2024.0,,,38.1434,-0.8431,exact,Comunidad Valenciana,L100001053788,G100001061582,GEM Global Solar Power Tracker Feb-2026
El Baix Segura / La Vega Baja solar project V,--,,Spain,1.2,operating,2023.0,,,38.1683,-0.8631,exact,Comunidad Valenciana,L100001053830,G100001061624,GEM Global Solar Power Tracker Feb-2026
El Baldío solar farm,1,Solaria El Baldío,Spain,20.0,operating,2019.0,Solaria Energía y Medio Ambiente,Solaria Energía y Medio Ambiente SA [100%],39.9646,-5.6986,exact,Extremadura,L100000805965,G100000806868,GEM Global Solar Power Tracker Feb-2026
El Berrocal solar farm,1,,Spain,50.0,operating,,,Ferrovial SE,37.5465,-6.161,approximate,Andalucía,L100001007557,G100001008706,GEM Global Solar Power Tracker Feb-2026
El Berrocal solar farm,2,,Spain,50.0,pre-construction,,,Ferrovial SE,37.5465,-6.161,approximate,Andalucía,L100001007557,G100001008707,GEM Global Solar Power Tracker Feb-2026
El Berrocal solar farm,3,,Spain,50.0,pre-construction,,,Ferrovial SE,37.5465,-6.161,approximate,Andalucía,L100001007557,G100001008708,GEM Global Solar Power Tracker Feb-2026
El Bierzo solar project,--,,Spain,6.7,operating,2023.0,,,42.5513,-6.7821,exact,Castilla y León,L100001010481,G100001011851,GEM Global Solar Power Tracker Feb-2026
El Bierzo solar project I,--,,Spain,1.2,operating,2023.0,,,42.58,-6.5719,exact,Castilla y León,L100001053080,G100001060874,GEM Global Solar Power Tracker Feb-2026
